위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.51303698,126.525349,도로명 : 관덕로,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51283799,126.525266,중앙주차장 (제주은행 건너편),특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51241797,126.525227,6번입구,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51191397,126.525018,제주동문수산시장 주차장,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51203299,126.524881,제주동문수산시장상인회 화장실,1층 장애인화장실 있음,장애인화장실,N,정상,2020-12-22
33.51139798,126.525281,농협 제주중앙지점 사거리,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.511473,126.526122,8번입구 (사거리),특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51096103,126.526228,동문재래시장 공영주차장 (타워),1층 장애인화장실 있음,장애인화장실,N,정상,2020-12-22
33.51056901,126.526784,동문재래시장 공영주차장 (노상) 3구역,특이사항없음,특이사항없음,N,정상,2020-12-22
33.51093002,126.526607,동문재래시장 공영주차장 (노상) 4구역,특이사항없음,특이사항없음,N,정상,2020-12-22
33.51126697,126.526486,동문재래시장 공영주차장 (노상) 5구역,특이사항없음,특이사항없음,N,정상,2020-12-22
33.51145397,126.52729,9번 입구 / 오르막 시작,경사구간 : 오르막 경사 길이 71m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51152698,126.528011,9번 입구 / 오르막 종료,경사구간 : 509m 지점 7°~ 526m 지점 10°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.51158699,126.528197,내리막 시작  10번 입구까지,경사구간 : 경사 길이 21m. 6°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.511775,126.52845,동문공영주차장 출구(A건물),1층 장애인화장실 있음,장애인화장실,N,정상,2020-12-22
33.51220499,126.5288,동문공영주차장 입구(B건물),특이사항없음,특이사항없음,N,정상,2020-12-22
33.51206602,126.528847,동문공영주차장 화장실(B건물),1층 장애인화장실 있음,장애인화장실,N,정상,2020-12-22
33.51284704,126.528866,동문공영주차장 진입 일반도로,특이사항없음,특이사항없음,N,정상,2020-12-22
33.51150703,126.526473,동문재래시장 공영주차장 (노상) 6구역,특이사항없음,특이사항없음,N,정상,2020-12-22
33.51285903,126.527178,3번 입구,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.51291996,126.527244,2번 입구,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.512222,126.52727,갈림길('사랑로' 방향표지판),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.51248201,126.528109,오르막시작 / 상가건물(공영주차장A),경사구간 : 경사 길이 13m. 10°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.51169998,126.528205,오르막종료 ,경사구간 : 경사 길이 13m. 10°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.51248603,126.528144,제주시종합안내센터 앞 사거리,물품보관가능,특이사항없음,Y,정상,2020-12-22
33.51277504,126.528749,12번 입구,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.51287101,126.527808,1번 입구,깨진 타일 주의 ,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.51239501,126.527866,서울 떡볶이 점포 앞,보행자 다수,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.51213098,126.527282,갈림길1,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
