위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.52308696,126.862724,주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52313298,126.862826,오르막,경사구간 : 오르막 58m/6˚,특이사항없음,Y,정상,2020-12-22
33.52331797,126.863376,오르막,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52342903,126.86339,본관 입구,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52317204,126.863656,해녀상. 숨비소리길 안내도,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52281396,126.864241,공연장(야외),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52222497,126.863979,해녀호. 제주호. 탐라호,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52205096,126.863594,불턱. 야외 돌 전시장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52200796,126.863309,장애인 주차구역,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52224601,126.863056,주차장,경사구간 : 오르막 80m/4-6˚,특이사항없음,Y,정상,2020-12-22
33.522719,126.862902,화장실,장애인 화장실(남녀구분) 본관현관 오른쪽,장애인화장실,Y,정상,2020-12-22
33.52284598,126.86283,흡연실,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52337102,126.863381,오르막,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52337597,126.863052,장애인 주차구역,특이사항없음,특이사항없음,Y,정상,2020-12-22
