아이디,위도,경도,고도
10,33.3928886,126.2391044,-3.799999952
10,33.39286404,126.2391105,-3.599999905
10,33.39292539,126.2390935,-4.400000095
10,33.39310787,126.2390906,-6.599999905
10,33.39320736,126.2390888,-6
10,33.39326268,126.2389933,-4.599999905
10,33.39327986,126.2389533,-3.599999905
10,33.39332018,126.2389608,-3.599999905
10,33.39331012,126.2389545,-3.400000095
10,33.39328732,126.2389747,-4
10,33.39320811,126.239027,-3.400000095
10,33.39320535,126.2390754,-2
10,33.39316763,126.2391195,-2
10,33.39299521,126.2391275,-3
10,33.3928383,126.2391476,-2.599999905
10,33.39283462,126.2391864,-2.599999905
10,33.39287946,126.2392512,-2.799999952
10,33.39297862,126.239358,-3.799999952
10,33.3931626,126.2394983,-4.800000191
10,33.39324885,126.2396434,-4.599999905
10,33.39327366,126.2396495,-3.599999905
10,33.39332798,126.2396487,-3.599999905
10,33.39333912,126.2396821,-3.200000048
10,33.39338154,126.2396077,-3.799999952
10,33.39339419,126.2395926,-2.799999952
10,33.39343904,126.2395271,-3.599999905
10,33.39356535,126.2393925,-4
10,33.39362604,126.2394186,-4
10,33.39375344,126.2396098,-3.400000095
10,33.39379795,126.2396696,-2.200000048
10,33.39383089,126.2396584,-2.599999905
10,33.39392954,126.2395628,-4.199999809
10,33.3938619,126.2396125,-2.799999952
10,33.39389166,126.2395735,-2.799999952
10,33.39394463,126.2395264,-2
10,33.3939241,126.2395831,-3.799999952
10,33.39389493,126.2395994,-3
10,33.39374799,126.2395614,-2.799999952
10,33.39359737,126.2393803,-3
10,33.39353099,126.2393947,-3.400000095
10,33.39344172,126.2394824,-3.799999952
10,33.39340962,126.2394818,-3.599999905
10,33.39330727,126.2395651,-3.400000095
10,33.39326235,126.2395604,-3.799999952
10,33.39476564,126.2408369,-7.800000191
10,33.39478592,126.2408658,-8.199999809
10,33.39479347,126.2408653,-7.400000095
10,33.39484208,126.2408212,-7.400000095
10,33.39490285,126.2407871,-8
10,33.39477109,126.2408554,-7.599999905
10,33.39474812,126.2408913,-8.800000191
10,33.39475198,126.2408483,-8.600000381
10,33.39466807,126.2405618,-7.400000095
10,33.39460915,126.2405118,-7.199999809
10,33.39465642,126.2405025,-7.599999905
10,33.39467017,126.2404939,-8
10,33.39469196,126.2404814,-8.199999809
10,33.39470906,126.2404207,-8.199999809
10,33.39468869,126.2403949,-7.800000191
10,33.39469825,126.2404182,-8.800000191
10,33.39469783,126.2403982,-12.39999962
10,33.39469641,126.240407,-9.199999809
10,33.39469624,126.240408,-8.600000381
10,33.39469976,126.2404003,-6.199999809
10,33.39470009,126.2403954,-8.600000381
10,33.39471099,126.2404907,-8.600000381
10,33.39465098,126.2405758,-8.600000381
10,33.39472683,126.2407047,-7.800000191
10,33.39466824,126.2407415,-7.199999809
10,33.39472717,126.2407924,-8
10,33.39476245,126.2408518,-7.599999905
