구분,명칭,거리(km),주소,전화번호,휠체어 진입,장애인 화장실,데이터기준일자
음식점,미풍해장국 제주항점,1,제주특별자치도 제주시 임항로 80,064-757-2900,,,2021-12-22
음식점,소완도식당,1,제주특별자치도 제주시 임항로 80,064-722-7833,,,2021-12-22
음식점,하나로국밥,1,제주특별자치도 제주시 임항로 70,064-758-2292,,,2021-12-22
음식점,선미한정식뷔페,0.6,제주특별자치도 제주시 만덕로3길 11,064-757-7225,,,2021-12-22
음식점,기분,0.8,제주특별자치도 제주시 만덕로 9,,,,2021-12-22
카페/편의점,제주이디오라커피,1,제주특별자치도 제주시 임항로 80,064-725-3331,,,2021-12-22
카페/편의점,몽티죠,0.8,제주특별자치도 제주시 연무정길 63,,,,2021-12-22
카페/편의점,달콤해,1,제주특별자치도 제주시 만덕로4길 4,,,,2021-12-22
카페/편의점,이퀄,1,제주특별자치도 제주시 산지로 21,,,,2021-12-22
카페/편의점,제로스테이션,0.9,제주특별자치도 제주시 산지로 25,064-702-1947,,,2021-12-22
숙박 시설,오션스위츠 제주호텔,2.2,제주특별자치도 제주시 탑동해안로 74,1577-9766,●,●,2021-12-22
숙박 시설,제주오리엔탈호텔,2.4,제주특별자치도 제주시 탑동로 47,064-752-8222,●,,2021-12-22
숙박 시설,라마다프라자 제주호텔 ,2.6,제주특별자치도 제주시 탑동로 66,064-729-8100,●,●,2021-12-22
숙박 시설,제주KAL호텔,2.5,제주특별자치도 제주시 중앙로 151,064-724-2001,●,●,2021-12-22
숙박 시설,그림리조트,5,제주특별자치도 제주시 서해안로 620-1,064-742-2080,,,2021-12-22
주변 관광지,김만덕기념관,1.1,제주특별자치도 제주시 산지로 7,064-759-6090,●,● ,2021-12-22
주변 관광지,산지천갤러리,1.1,제주특별자치도 제주시 중앙로 3길 36,064-7125-1208,●,● ,2021-12-22
주변 관광지,제주목관아,2,제주특별자치도 제주시 관덕로 25,064-710-6714,●,● ,2021-12-22
